0.34446,0.33961,0.33413,0.32827,0.3232,0.31545,0.30779,0.30033,0.29232,0.28329,0.27401,0.26395,0.25143,0.21535,0.18313,0.15366,0.12586,0.101,0.077562,0.057046,0.038211
0.35055,0.34602,0.34022,0.33397,0.32782,0.32089,0.31319,0.30534,0.29592,0.28617,0.27559,0.26598,0.25075,0.21293,0.17609,0.1436,0.11505,0.088811,0.064706,0.041777,0.022264
0.35799,0.35267,0.34703,0.34113,0.33372,0.32687,0.31986,0.30998,0.30071,0.29116,0.27908,0.26531,0.25119,0.20701,0.16807,0.1328,0.10071,0.073635,0.046957,0.023761,0
0.36818,0.36224,0.35508,0.34898,0.34164,0.33407,0.32683,0.31768,0.30641,0.29441,0.28188,0.26716,0.25075,0.20301,0.15767,0.11853,0.084685,0.053579,0.027811,0,0.025196
0.37586,0.3705,0.36455,0.35752,0.3506,0.34257,0.33453,0.3243,0.31427,0.30085,0.28645,0.26996,0.25199,0.1982,0.14373,0.10092,0.064574,0.03227,0,0.028014,0.053979
0.38658,0.38243,0.37585,0.36905,0.3633,0.35343,0.34437,0.33457,0.32237,0.30834,0.29194,0.27335,0.25109,0.18372,0.12559,0.077867,0.038079,0,0.034255,0.060037,0.0839
0.40061,0.39533,0.38931,0.38404,0.37669,0.36752,0.35824,0.34688,0.33423,0.3193,0.30105,0.27829,0.25065,0.16939,0.10087,0.047012,0,0.039599,0.073377,0.10154,0.12677
0.41728,0.41316,0.40809,0.40047,0.39359,0.38527,0.37568,0.36451,0.35122,0.33423,0.31396,0.3886,0.251,0.14487,0.06335,0,0.052955,0.092923,0.12574,0.15468,0.1794
0.43849,0.43395,0.42949,0.42374,0.41725,0.41063,0.40022,0.38913,0.37563,0.35762,0.33456,0.30131,0.25683,0.10219,0,0.073781,0.12556,0.16821,0.2006,0.22763,0.25131
0.41775,0.4028,0.3947,0.38563,0.37561,0.36581,0.3506,0.33466,0.31362,0.28697,0.2502,0.20125,0.12578,0,0.084502,0.14492,0.18809,0.22302,0.2515,0.27542,0.29441
0.37558,0.37017,0.35734,0.34724,0.33384,0.31874,0.30068,0.27805,0.25063,0.21483,0.16746,0.10064,0,0.10149,0.16803,0.21614,0.25087,0.27838,0.3006,0.31975,0.49953
0.30722,0.29487,0.28227,0.26757,0.25106,0.23148,0.20873,0.18277,0.15228,0.11184,0.063188,0,0.08456,0.20238,0.37585,0.28684,0.31426,0.42937,0.43813,0.44555,0.45064
0.25182,0.23794,0.22319,0.20706,0.1888,0.16709,0.14347,0.11592,0.083801,0.046262,0,0.056226,0.12625,0.21544,0.33349,0.35755,0.37707,0.38977,0.40126,0.40996,0.41712
0.20535,0.19162,0.17594,0.15856,0.1406,0.11825,0.094433,0.067274,0.037225,0,0.043005,0.091791,0.15076,0.22324,0.31326,0.33369,0.35092,0.36509,0.37575,0.38564,0.39392
0.16736,0.15313,0.137,0.12005,0.10178,0.079486,0.056278,0.030474,0,0.034444,0.072563,0.11615,0.16751,0.22777,0.30053,0.3201,0.33348,0.34742,0.3581,0.36859,0.37688
0.13553,0.12118,0.10484,0.088268,0.069331,0.048446,0.026395,0,0.028881,0.060399,0.094248,0.13361,0.17889,0.23164,0.29222,0.30945,0.32151,0.33528,0.34459,0.35439,0.36186
0.10784,0.093234,0.078027,0.060649,0.042904,0.023803,0,0.025391,0.051483,0.079863,0.11159,0.14754,0.18801,0.23737,0.28579,0.30053,0.31323,0.32439,0.33418,0.3428,0.35117
0.084206,0.069646,0.054432,0.038679,0.020207,0,0.02248,0.043785,0.069258,0.095929,0.12566,0.15873,0.19476,0.23637,0.28192,0.29498,0.30677,0.31676,0.32576,0.33474,0.34122
0.06513,0.049888,0.034195,0.018415,0,0.019964,0.039481,0.060749,0.084595,0.10914,0.13743,0.16713,0.20069,0.23724,0.27851,0.2902,0.30086,0.31018,0.32015,0.32642,0.33367
0.045308,0.031675,0.016958,0,0.020067,0.035549,0.054265,0.075284,0.096529,0.12027,0.14659,0.17583,0.20543,0.23958,0.27542,0.28724,0.29618,0.30476,0.31321,0.3217,0.32782
0.029902,0.01548,0,0.016239,0.032306,0.050194,0.067281,0.087038,0.10816,0.13095,0.15473,0.18069,0.20912,0.23995,0.27359,0.28355,0.29196,0.30078,0.30811,0.315,0.32228
