1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5
0.49239,0.5724,0.60999,0.61194,0.60195,0.59636,0.59051,0.58486,0.57869,0.57226,0.56546,0.56036,0.55496,0.54885,0.54187,0.53696,0.53161,0.52603,0.52073,0.515
0.47359,0.52296,0.57484,0.57362,0.56992,0.5639,0.55916,0.55548,0.55073,0.5462,0.54033,0.53538,0.53028,0.52505,0.52035,0.51432,0.51149,0.50619,0.50106,0.49648
0.46078,0.52949,0.54715,0.54573,0.54131,0.53694,0.53399,0.53098,0.52506,0.52173,0.51799,0.51398,0.50919,0.50441,0.5003,0.4957,0.49123,0.48749,0.48398,0.47915
0.44356,0.48984,0.52204,0.51977,0.51846,0.51432,0.51189,0.50683,0.50505,0.5,0.49702,0.49361,0.48926,0.48694,0.48308,0.4792,0.47513,0.47172,0.46815,0.4637
0.43006,0.46465,0.50013,0.49784,0.49579,0.49325,0.49299,0.48815,0.48531,0.48287,0.47886,0.47559,0.47157,0.46837,0.46695,0.46347,0.45921,0.4557,0.45278,0.44904
0.41838,0.44993,0.48011,0.47844,0.47749,0.47743,0.47256,0.47045,0.4693,0.46729,0.46249,0.46044,0.4568,0.45396,0.45158,0.44821,0.44525,0.44272,0.43848,0.43565
0.40656,0.43446,0.46377,0.46554,0.46041,0.46013,0.45682,0.45448,0.45304,0.44955,0.44884,0.44497,0.44294,0.43978,0.43691,0.4354,0.43205,0.43069,0.42692,0.42412
0.39717,0.42177,0.44709,0.44619,0.44486,0.44419,0.44321,0.44021,0.43813,0.4363,0.43391,0.43179,0.42867,0.43129,0.42494,0.42341,0.41977,0.41801,0.41536,0.413
0.38605,0.41709,0.43305,0.43218,0.43165,0.43016,0.42938,0.42674,0.42533,0.42402,0.42442,0.41982,0.41759,0.41535,0.41397,0.41134,0.40943,0.40721,0.40545,0.40255
0.38053,0.39957,0.41989,0.41933,0.42,0.41785,0.41691,0.41425,0.41493,0.41138,0.41001,0.40834,0.40649,0.40511,0.40395,0.401,0.39933,0.39694,0.39513,0.39232
0.36931,0.39222,0.40992,0.40833,0.40833,0.4068,0.40579,0.40409,0.40244,0.40087,0.39894,0.39786,0.39599,0.39429,0.39269,0.39076,0.39057,0.38759,0.38616,0.38373
0.36222,0.38475,0.39836,0.40072,0.39689,0.3957,0.3945,0.39361,0.39242,0.39083,0.38955,0.38865,0.38698,0.38445,0.38355,0.38157,0.38044,0.37856,0.37705,0.37472
0.3552,0.38442,0.38837,0.38785,0.39184,0.38595,0.38526,0.38389,0.38215,0.38212,0.38028,0.37988,0.37749,0.37609,0.37435,0.37465,0.3724,0.3732,0.36901,0.36733
0.35031,0.37103,0.37987,0.37838,0.37903,0.3766,0.37604,0.37506,0.37407,0.37237,0.37168,0.37002,0.36901,0.36837,0.36667,0.36576,0.364,0.3628,0.36254,0.36021
